sig	state	n_sig_genes	obs	null_mean	null_sd	z	emp_p
M_HSF1_heat_shock	OPC	93	0.6141114545762375	0.5043851634009282	0.0311809458088304	3.519017410441565	0.0476190476190476
M_HSF1_heat_shock	NPC	93	0.6188632703056524	0.5032858784167568	0.0295427367457039	3.912210059743449	0.0476190476190476
M_HSF1_heat_shock	Cycling	93	0.6165880305736876	0.504125238684948	0.0329999351564968	3.407970087074504	0.0476190476190476
M_HSF1_heat_shock_CCDEP	MES	86	0.6310205757875909	0.5179266867119025	0.0422001499403354	2.679940456031219	0.0476190476190476
M_HSF1_heat_shock_CCDEP	AC	86	0.6192452116809336	0.5214735360255002	0.0441136908735362	2.216356730061925	0.0952380952380952
M_HSF1_heat_shock_CCDEP	OPC	86	0.6128248883940226	0.5186784805903335	0.0415481416292959	2.2659595378221584	0.0476190476190476
M_HSF1_heat_shock_CCDEP	NPC	86	0.617219689591574	0.5209104066941197	0.0416251712285606	2.313727008319735	0.0476190476190476
M_HSF1_heat_shock_CCDEP	Cycling	86	0.6169057325419117	0.5206011902790696	0.0412051658220159	2.3371958428422737	0.0476190476190476
M_cholesterol_SREBP	MES	118	0.5535855741839969	0.5077495185098714	0.0294919184825033	1.5541903691792267	0.1428571428571428
M_cholesterol_SREBP	AC	118	0.5564192088348494	0.5071505900581819	0.0305644055516314	1.6119606413885472	0.0952380952380952
M_cholesterol_SREBP	OPC	118	0.5380699062330393	0.50505035199372	0.0317024228857512	1.0415467094838384	0.1428571428571428
M_cholesterol_SREBP	NPC	118	0.5190966455860226	0.5052621961992687	0.0316831611822227	0.436649907096908	0.3333333333333333
M_cholesterol_SREBP	Cycling	118	0.5374761611010301	0.506274103916904	0.0307371820554626	1.0151241947887324	0.1428571428571428
M_cholesterol_SREBP_CCDEP	MES	113	0.5479784280214873	0.5099863479792572	0.0231373289448749	1.6420253233528772	0.1428571428571428
M_cholesterol_SREBP_CCDEP	AC	113	0.5512361983552483	0.5094222308108124	0.0239259314611115	1.747642202035015	0.0476190476190476
M_cholesterol_SREBP_CCDEP	OPC	113	0.5312057042476026	0.5063746590205475	0.025071696830569	0.99040146324598	0.1904761904761904
M_cholesterol_SREBP_CCDEP	NPC	113	0.5112864384048671	0.5061266543062486	0.02525655015392	0.2042948885407316	0.4761904761904761
M_cholesterol_SREBP_CCDEP	Cycling	113	0.5289564619339971	0.5088045142722339	0.0245715189809552	0.8201343871895945	0.1904761904761904
M_autophagy_lysosome	MES	142	0.6157028849929086	0.5083042774405829	0.0308543964140276	3.4808202406934123	0.0476190476190476
M_autophagy_lysosome	AC	142	0.6091898529196247	0.5072225601514582	0.032661148331981	3.1219751287287862	0.0476190476190476
M_autophagy_lysosome	OPC	142	0.5993097743443276	0.5048640577913881	0.0320281914333475	2.948830774584521	0.0476190476190476
M_autophagy_lysosome	NPC	142	0.602396438937452	0.5044810004533661	0.0327427842481216	2.9904432604781643	0.0476190476190476
M_autophagy_lysosome	Cycling	142	0.6015807419851573	0.5049274216127758	0.0297903791396535	3.2444474747797867	0.0476190476190476
M_autophagy_lysosome_CCDEP	MES	141	0.6106805581809218	0.5077222274457123	0.0215615678285741	4.775085538945152	0.0476190476190476
