gene	baseMean	log2FC	lfcSE	stat	pvalue	padj	contrast
ENSG00000006740.18	3.2407704223325196	1.4005606959661412	3.731006045358029	0.3753841936838092			C4
ENSG00000006744.19	686.1883173079697	-0.6906002721879482	0.18573608740192088	-3.718180359283298	0.00020066298788179552	0.0010921363228774679	C4
ENSG00000006747.15	9.393732928668076	-6.894090446633881	2.231483602176135	-3.089464981911939	0.0020051734304898784	0.008393858480626942	C4
ENSG00000006756.16	167.30395368322405	-0.5959981723570479	0.3449193269382237	-1.7279349859794702	0.083999881015214	0.185183756479706	C4
ENSG00000006757.12	0.0						C4
ENSG00000006788.14	0.0						C4
ENSG00000006831.10	452.3829022079573	0.36871319872222397	0.20545544144813208	1.7946139373257088	0.07271523101307457	0.1660955915897285	C4
ENSG00000006837.12	14.959437175704968	1.675457301613922	1.5226536932896233	1.100353487465803	0.27117813580763783	0.4393872615549304	C4
ENSG00000007001.13	0.0						C4
ENSG00000007038.11	0.0						C4
ENSG00000007047.16	285.87883123115256	-0.5820382890446677	0.3474716827470856	-1.6750668268651874	0.09392112074303821	0.2021618193414599	C4
ENSG00000007062.12	0.19470254770347922	-0.5205881236122487	4.415684342913386	-0.11789523054285489	0.9061506723688338		C4
ENSG00000007080.11	760.5212340123559	-1.759423016885775	0.2705046067234049	-6.50422570690196	7.809456872166649e-11	1.3288891562537916e-09	C4
ENSG00000007129.18	0.0						C4
ENSG00000007168.14	1191.4546154124714	0.05826065201204822	0.18882642871327313	0.3085407715914341	0.7576708811834987	0.858419381782599	C4
ENSG00000007171.19	0.0						C4
ENSG00000007174.18	0.02862247398869704	0.05649585259473883	4.329917975319385	0.013047788183694528	0.9895896666405881		C4
ENSG00000007202.15	2843.5495485193933	-0.30684587419465853	0.07825717204777742	-3.920993643973279	8.818458915632103e-05	0.0005260655591250412	C4
ENSG00000007216.16	1.961289603254108	1.8214128473797324	1.433483878489096	1.2706196942371732	0.2038639771580102		C4
ENSG00000007237.19	0.0						C4
ENSG00000007255.10	24.051653396410746	-2.239461218508735	1.1439845134259305	-1.9575974956183124	0.05027726146654309	0.12417217385847859	C4
ENSG00000007264.15	1.8552145023269737	5.216170524410299	4.1540578061660645	1.255680774751784	0.20923173228344016		C4
ENSG00000007306.15	0.0						C4
ENSG00000007312.14	1.0796589598559807	3.866805512614301	4.162089798901347	0.9290538406055077	0.3528611845349008		C4
ENSG00000007314.12	0.03043987329856591	0.05649585259473888	4.329917975319384	0.013047788183694547	0.9895896666405881		C4
ENSG00000007341.19	75.86499342044992	1.4301604843753006	0.383912950204979	3.7252207397841324	0.00019514438242239086	0.0010657069957552842	C4
ENSG00000007350.17	0.0						C4
ENSG00000007372.25	70.08376859915403	-1.1098888562673552	0.5556056244625054	-1.9976199077197345	0.04575788329009645	0.11518556432126907	C4
