signature	sig_type	direction	ensg	symbol	det_SS2	det_10X	det_Couturier
C5_STABLE_DOWN	C5 stable	down	ENSG00000255874.4	PRECSIT	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000153832.12	FBXO36	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000173559.15	NABP1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000165475.15	CRYL1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000106484.16	MEST	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000111961.19	SASH1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000249915.9	PDCD6	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000198793.14	MTOR	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000100583.5	SAMD15	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000089009.16	RPL6	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000125650.5	PSPN	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000166562.9	SEC11C	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000274266.1	SNORA73A	0	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000160877.7	NACC1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000100968.14	NFATC4	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000169641.15	LUZP1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000164096.13	ARLN	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000162849.16	KIF26B	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000142039.4	CCDC97	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000167552.15	TUBA1A	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000145555.15	MYO10	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000134153.10	EMC7	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000126267.11	COX6B1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000152661.9	GJA1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000174791.11	RIN1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000087303.19	NID2	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000106244.13	PDAP1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000152234.16	ATP5F1A	0	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000169710.9	FASN	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000108523.16	RNF167	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000241749.4	RPSAP52	1	0	0
C5_STABLE_UP	C5 stable	up	ENSG00000139289.15	PHLDA1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000119487.17	MAPKAP1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000198860.14	TSEN15	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000174307.7	PHLDA3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000133997.12	MED6	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000186088.16	GSAP	0	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000135245.10	HILPDA	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000169604.21	ANTXR1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000100225.18	FBXO7	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000159840.16	ZYX	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000204253.4	HNRNPCP2	0	0	0
C5_STABLE_DOWN	C5 stable	down	ENSG00000204536.15	CCHCR1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000164604.14	GPR85	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000085063.18	CD59	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000139926.16	FRMD6	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000125347.15	IRF1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000166888.12	STAT6	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000100612.14	DHRS7	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000053254.16	FOXN3	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000197976.12	AKAP17A	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000129460.17	NGDN	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000177426.22	TGIF1	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000181192.12	DHTKD1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000143183.18	TMCO1	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000131051.24	RBM39	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000143776.20	CDC42BPA	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000128573.28	FOXP2	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000183580.10	FBXL7	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000108852.16	MPP2	1	1	1
C5_STABLE_UP	C5 stable	up	ENSG00000108510.10	MED13	1	1	1
C5_STABLE_DOWN	C5 stable	down	ENSG00000104415.14	CCN4	0	0	0
